Configuration,InternVL2-1B,InternVL2_5-1B,Phi-3-Vision,llava-onevision-qwen2-0.5b-ov-hf
original,0.4993464052287582,0.5790849673202615,0.5934640522875817,0.0
grid_1x2_row1_col1,0.4300653594771242,0.4797385620915033,0.4849673202614379,0.0
grid_1x2_row1_col2,0.46143790849673205,0.5163398692810458,0.5411764705882353,0.0
grid_2x1_row1_col1,0.46143790849673205,0.5058823529411764,0.5568627450980392,0.0
grid_2x1_row2_col1,0.4444444444444444,0.47320261437908495,0.48627450980392156,0.0
grid_2x2_row1_col1,0.38823529411764707,0.44836601307189544,0.47320261437908495,0.0
grid_2x2_row1_col2,0.4326797385620915,0.47843137254901963,0.5111111111111111,0.0
grid_2x2_row2_col1,0.40261437908496733,0.41568627450980394,0.43790849673202614,0.0
grid_2x2_row2_col2,0.41568627450980394,0.43529411764705883,0.477124183006536,0.0
grid_3x3_row1_col1,0.35294117647058826,0.3803921568627451,0.4261437908496732,0.0
grid_3x3_row1_col2,0.3803921568627451,0.396078431372549,0.4392156862745098,0.0
grid_3x3_row1_col3,0.3607843137254902,0.4,0.42091503267973857,0.0
grid_3x3_row2_col1,0.4065359477124183,0.4261437908496732,0.4326797385620915,0.0
grid_3x3_row2_col2,0.4300653594771242,0.46013071895424834,0.5124183006535947,0.0
grid_3x3_row2_col3,0.4169934640522876,0.43529411764705883,0.45751633986928103,0.0
grid_3x3_row3_col1,0.36470588235294116,0.39477124183006534,0.41568627450980394,0.0
grid_3x3_row3_col2,0.35555555555555557,0.4013071895424837,0.43529411764705883,0.0
grid_3x3_row3_col3,0.3764705882352941,0.4013071895424837,0.4196078431372549,0.0
